latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
46.77061,9.874832,2517.46,7200,Europe/Zurich,GMT+2

time,temperature_2m (°C),snowfall (cm),rain (mm),snow_depth (m),precipitation (mm),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°),wind_gusts_10m (km/h),sunshine_duration (s),cloud_cover (%)
2017-11-14T00:00,-12.4,0.00,0.00,0.68,0.00,17.6,17.6,16,18,43.2,0.00,30
2017-11-14T01:00,-12.7,0.00,0.00,0.68,0.00,17.6,17.6,10,14,38.9,0.00,40
2017-11-14T02:00,-12.9,0.00,0.00,0.68,0.00,17.3,17.3,6,12,38.2,0.00,40
2017-11-14T03:00,-13.5,0.00,0.00,0.68,0.00,13.0,13.0,2,6,36.4,0.00,89
2017-11-14T04:00,-13.2,0.00,0.00,0.68,0.00,12.6,12.6,6,10,27.0,0.00,91
2017-11-14T05:00,-12.7,0.00,0.00,0.68,0.00,10.8,10.8,8,12,25.9,0.00,86
2017-11-14T06:00,-13.9,0.00,0.00,0.68,0.00,10.1,10.1,8,10,23.0,0.00,79
2017-11-14T07:00,-14.2,0.00,0.00,0.68,0.00,9.7,9.7,18,20,20.5,0.00,62
2017-11-14T08:00,-14.9,0.00,0.00,0.68,0.00,6.5,6.5,12,14,18.4,0.00,4
2017-11-14T09:00,-15.8,0.00,0.00,0.53,0.00,3.2,3.2,20,20,10.8,0.00,3
2017-11-14T10:00,-14.5,0.00,0.00,0.53,0.00,0.7,0.7,4,22,5.4,3600.00,2
2017-11-14T11:00,-11.4,0.00,0.00,0.53,0.00,2.2,2.2,140,26,2.2,3600.00,2
2017-11-14T12:00,-9.1,0.00,0.00,0.53,0.00,1.8,1.8,134,38,2.5,3600.00,10
2017-11-14T13:00,-6.9,0.00,0.00,0.53,0.00,2.2,2.2,346,10,5.8,3600.00,3
2017-11-14T14:00,-5.4,0.00,0.00,0.53,0.00,7.2,7.2,358,8,16.9,3600.00,6
2017-11-14T15:00,-5.7,0.00,0.00,0.53,0.00,3.2,3.2,22,22,14.8,3600.00,11
2017-11-14T16:00,-5.6,0.00,0.00,0.53,0.00,5.4,5.4,10,8,13.0,3600.00,40
2017-11-14T17:00,-6.8,0.00,0.00,0.53,0.00,5.4,5.4,34,30,14.8,3600.00,37
2017-11-14T18:00,-10.3,0.00,0.00,0.53,0.00,4.3,4.3,30,18,10.4,0.00,44
2017-11-14T19:00,-11.5,0.00,0.00,0.53,0.00,2.9,2.9,66,18,8.3,0.00,59
2017-11-14T20:00,-12.3,0.00,0.00,0.53,0.00,3.2,3.2,76,16,4.0,0.00,55
2017-11-14T21:00,-12.9,0.00,0.00,0.53,0.00,4.7,4.7,124,34,5.8,0.00,52
2017-11-14T22:00,-12.7,0.00,0.00,0.53,0.00,4.3,4.3,122,14,5.4,0.00,40
2017-11-14T23:00,-12.9,0.00,0.00,0.53,0.00,3.6,3.6,116,10,4.7,0.00,37
2017-11-15T00:00,-13.7,0.00,0.00,0.53,0.00,4.0,4.0,122,22,5.8,0.00,38
2017-11-15T01:00,-13.4,0.00,0.00,0.53,0.00,4.7,4.7,132,36,5.4,0.00,29
2017-11-15T02:00,-13.4,0.00,0.00,0.53,0.00,4.7,4.7,134,14,4.7,0.00,29
2017-11-15T03:00,-14.4,0.00,0.00,0.53,0.00,4.7,4.7,136,32,5.4,0.00,17
2017-11-15T04:00,-14.2,0.00,0.00,0.53,0.00,5.8,5.8,138,42,5.8,0.00,16
2017-11-15T05:00,-14.1,0.00,0.00,0.53,0.00,5.0,5.0,130,14,5.8,0.00,13
2017-11-15T06:00,-14.5,0.00,0.00,0.53,0.00,5.8,5.8,130,50,6.1,0.00,25
2017-11-15T07:00,-14.2,0.00,0.00,0.53,0.00,7.2,7.2,136,84,7.2,0.00,19
2017-11-15T08:00,-13.9,0.00,0.00,0.53,0.00,7.2,7.2,134,72,7.2,0.00,7
2017-11-15T09:00,-14.4,0.00,0.00,0.52,0.00,7.6,7.6,136,102,7.9,0.00,16
2017-11-15T10:00,-12.5,0.00,0.00,0.52,0.00,8.6,8.6,132,110,9.0,3600.00,12
2017-11-15T11:00,-9.1,0.00,0.00,0.52,0.00,7.6,7.6,132,24,8.6,3600.00,5
2017-11-15T12:00,-6.2,0.00,0.00,0.52,0.00,4.0,4.0,130,42,7.6,3600.00,5
2017-11-15T13:00,-3.4,0.00,0.00,0.52,0.00,4.7,4.7,130,108,4.7,3600.00,5
2017-11-15T14:00,-2.0,0.00,0.00,0.52,0.00,4.3,4.3,122,112,4.7,3600.00,5
2017-11-15T15:00,-2.2,0.00,0.00,0.52,0.00,2.9,2.9,116,50,4.3,3600.00,3
2017-11-15T16:00,-2.7,0.00,0.00,0.52,0.00,2.9,2.9,110,32,3.6,3600.00,6
2017-11-15T17:00,-4.9,0.00,0.00,0.52,0.00,4.3,4.3,124,52,4.7,3600.00,4
2017-11-15T18:00,-9.3,0.00,0.00,0.52,0.00,6.8,6.8,138,118,6.8,0.00,10
2017-11-15T19:00,-10.8,0.00,0.00,0.52,0.00,8.3,8.3,134,150,8.3,0.00,7
2017-11-15T20:00,-11.5,0.00,0.00,0.52,0.00,8.3,8.3,130,62,8.6,0.00,8
2017-11-15T21:00,-12.3,0.00,0.00,0.52,0.00,7.9,7.9,134,168,9.0,0.00,17
2017-11-15T22:00,-12.4,0.00,0.00,0.52,0.00,9.0,9.0,134,168,9.0,0.00,8
2017-11-15T23:00,-12.2,0.00,0.00,0.52,0.00,10.1,10.1,136,180,10.1,0.00,6
2017-11-16T00:00,-11.8,0.00,0.00,0.52,0.00,9.7,9.7,136,188,10.4,0.00,6
2017-11-16T01:00,-11.6,0.00,0.00,0.52,0.00,10.8,10.8,136,172,10.8,0.00,10
