latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
46.671875,9.871231,2951.77,7200,Europe/Zurich,GMT+2

time,temperature_2m_cerra (°C),snowfall_cerra (cm),rain_cerra (mm),snow_depth_cerra (m),precipitation_cerra (mm),wind_speed_10m_cerra (km/h),wind_speed_100m_cerra (km/h),wind_direction_10m_cerra (°),wind_direction_100m_cerra (°),wind_gusts_10m_cerra (km/h),sunshine_duration_cerra (s),cloud_cover_cerra (%),temperature_2m_archive_best_match (°C),snowfall_archive_best_match (cm),rain_archive_best_match (mm),snow_depth_archive_best_match (m),precipitation_archive_best_match (mm),wind_speed_10m_archive_best_match (km/h),wind_speed_100m_archive_best_match (km/h),wind_direction_10m_archive_best_match (°),wind_direction_100m_archive_best_match (°),wind_gusts_10m_archive_best_match (km/h),sunshine_duration_archive_best_match (s),cloud_cover_archive_best_match (%)
2003-02-06T00:00,-19.6,0.91,0.00,10.28,1.30,20.2,20.2,332,338,39.6,0.00,100,-20.5,0.42,0.00,2.29,0.60,7.6,18.4,355,359,61.9,0.00,99
2003-02-06T01:00,-19.6,0.70,0.00,10.29,1.00,22.7,22.7,338,342,46.4,0.00,100,-20.4,0.21,0.00,2.30,0.30,5.8,15.2,353,355,61.2,0.00,98
2003-02-06T02:00,-19.9,0.84,0.00,10.30,1.20,26.3,26.3,336,342,51.8,0.00,100,-20.3,0.28,0.00,2.31,0.40,7.0,15.9,348,354,56.9,0.00,97
2003-02-06T03:00,-19.8,0.70,0.00,10.31,1.00,18.0,18.0,330,336,43.9,0.00,100,-20.3,0.21,0.00,2.31,0.30,8.0,17.0,352,355,56.9,0.00,98
2003-02-06T04:00,-20.0,0.70,0.00,10.32,1.00,28.1,28.1,336,340,53.6,0.00,100,-20.4,0.14,0.00,2.32,0.20,7.9,17.3,357,358,56.9,0.00,98
2003-02-06T05:00,-20.6,0.28,0.00,10.32,0.40,25.2,25.2,342,348,53.6,0.00,100,-20.2,0.14,0.00,2.32,0.20,7.6,16.6,357,359,58.0,0.00,97
2003-02-06T06:00,-20.6,0.49,0.00,10.33,0.70,17.6,17.6,340,346,45.0,0.00,100,-20.5,0.14,0.00,2.32,0.20,7.6,15.5,360,360,57.2,0.00,97
2003-02-06T07:00,-20.4,0.70,0.00,10.34,1.00,18.4,18.4,330,336,33.8,0.00,100,-20.7,0.14,0.00,2.33,0.20,7.6,14.8,3,360,54.4,0.00,98
2003-02-06T08:00,-20.3,0.63,0.00,10.34,0.90,27.4,27.4,340,346,54.0,0.00,100,-20.6,0.21,0.00,2.33,0.30,6.6,13.7,9,2,52.6,0.00,99
2003-02-06T09:00,-20.8,0.21,0.00,10.45,0.30,15.8,15.8,334,340,47.5,0.00,95,-20.2,0.21,0.00,2.34,0.30,6.6,13.0,9,5,50.8,0.00,97
2003-02-06T10:00,-20.5,0.49,0.00,10.46,0.70,20.2,20.2,332,338,38.2,0.00,100,-20.0,0.28,0.00,2.34,0.40,7.6,12.3,5,3,51.5,1074.88,97
2003-02-06T11:00,-19.9,0.49,0.00,10.47,0.70,19.4,19.4,332,336,38.5,0.00,100,-19.5,0.21,0.00,2.35,0.30,6.5,12.6,3,2,51.1,3287.89,97
2003-02-06T12:00,-19.4,0.49,0.00,10.47,0.70,20.9,20.9,334,340,40.7,0.00,97,-18.9,0.42,0.00,2.36,0.60,7.9,13.7,3,3,55.1,3600.00,99
2003-02-06T13:00,-19.5,0.21,0.00,10.48,0.30,17.6,17.6,354,358,41.0,0.00,100,-18.1,0.35,0.00,2.37,0.50,9.0,14.8,355,356,59.8,3600.00,99
2003-02-06T14:00,-19.0,0.63,0.00,10.48,0.90,22.3,22.3,334,336,43.2,0.00,100,-17.4,0.21,0.00,2.37,0.30,9.1,14.8,353,354,72.7,3600.00,95
2003-02-06T15:00,-19.7,0.49,0.00,10.49,0.70,20.5,20.5,332,336,47.2,0.00,100,-17.2,0.21,0.00,2.38,0.30,8.7,15.5,353,355,75.2,3600.00,92
2003-02-06T16:00,-19.5,0.49,0.00,10.50,0.70,18.7,18.7,340,346,37.8,0.00,91,-17.2,0.14,0.00,2.38,0.20,9.0,16.2,355,357,76.7,3600.00,78
2003-02-06T17:00,-19.4,0.42,0.00,10.50,0.60,21.6,21.6,342,348,41.4,0.00,90,-18.0,0.14,0.00,2.38,0.20,5.8,15.5,356,359,71.6,3600.00,87
2003-02-06T18:00,-19.8,0.49,0.00,10.51,0.70,21.2,21.2,326,330,40.3,0.00,90,-18.6,0.14,0.00,2.38,0.20,6.8,16.6,3,1,57.6,3519.83,95
2003-02-06T19:00,-20.6,0.56,0.00,10.52,0.80,21.6,21.6,328,332,40.3,0.00,90,-19.6,0.14,0.00,2.38,0.20,6.8,14.8,3,360,54.7,0.00,93
2003-02-06T20:00,-20.9,0.35,0.00,10.52,0.50,22.0,22.0,332,338,40.0,0.00,90,-19.9,0.14,0.00,2.38,0.20,5.8,14.8,356,360,51.1,0.00,97
2003-02-06T21:00,-20.3,0.21,0.00,10.52,0.30,18.7,18.7,336,342,36.7,0.00,90,-19.7,0.07,0.00,2.38,0.10,5.4,14.8,4,360,49.7,0.00,97
2003-02-06T22:00,-20.6,0.14,0.00,10.53,0.20,18.4,18.4,342,350,34.2,0.00,90,-20.1,0.07,0.00,2.38,0.00,6.5,14.8,6,3,50.0,0.00,97
2003-02-06T23:00,-20.8,0.07,0.00,10.53,0.10,18.0,18.0,350,358,35.3,0.00,90,-20.7,0.00,0.00,2.38,0.00,8.3,14.5,5,6,50.4,0.00,98
2003-02-07T00:00,-20.6,0.07,0.00,10.53,0.10,14.8,14.8,350,358,37.4,0.00,90,-20.9,0.00,0.00,2.38,0.00,5.4,14.5,4,6,50.4,0.00,98
2003-02-07T01:00,-21.3,0.07,0.00,10.53,0.10,13.0,13.0,356,2,28.8,0.00,91,-21.2,0.00,0.00,2.38,0.00,6.5,13.1,6,9,49.3,0.00,98
2003-02-07T02:00,-22.0,0.07,0.00,10.53,0.10,12.2,12.2,354,360,25.9,0.00,95,-21.9,0.00,0.00,2.38,0.00,6.9,12.4,9,8,48.6,0.00,98
