latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
46.771812,9.80275,2087.62,7200,Europe/Zurich,GMT+2

time,temperature_2m (°C),snowfall (cm),rain (mm),snow_depth (m),precipitation (mm),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°),wind_gusts_10m (km/h),sunshine_duration (s),cloud_cover (%)
2010-03-01T00:00,-5.8,0.00,0.00,5.37,0.00,7.9,7.9,196,228,19.1,0.00,90
2010-03-01T01:00,-4.8,0.07,0.00,5.37,0.10,7.9,7.9,212,238,20.5,0.00,53
2010-03-01T02:00,-5.7,0.00,0.00,5.37,0.00,7.6,7.6,230,250,22.3,0.00,32
2010-03-01T03:00,-6.4,0.00,0.00,5.37,0.00,5.8,5.8,224,248,22.0,0.00,0
2010-03-01T04:00,-7.5,0.00,0.00,5.37,0.00,5.8,5.8,206,244,17.3,0.00,0
2010-03-01T05:00,-8.4,0.00,0.00,5.37,0.00,3.2,3.2,216,264,16.9,0.00,0
2010-03-01T06:00,-9.2,0.00,0.00,5.37,0.00,4.3,4.3,160,226,9.7,0.00,0
2010-03-01T07:00,-9.9,0.00,0.00,5.37,0.00,5.8,5.8,128,184,8.3,0.00,4
2010-03-01T08:00,-10.7,0.00,0.00,5.37,0.00,7.2,7.2,146,178,13.0,0.00,2
2010-03-01T09:00,-9.8,0.00,0.00,5.39,0.00,6.5,6.5,166,190,15.5,788.90,24
2010-03-01T10:00,-7.7,0.00,0.00,5.39,0.00,5.8,5.8,140,142,13.0,3600.00,22
2010-03-01T11:00,-5.1,0.00,0.00,5.39,0.00,5.4,5.4,146,162,14.0,3600.00,11
2010-03-01T12:00,-2.8,0.00,0.00,5.39,0.00,6.5,6.5,152,176,20.9,3600.00,87
2010-03-01T13:00,-1.3,0.00,0.00,5.39,0.00,4.7,4.7,144,174,16.2,3600.00,90
2010-03-01T14:00,-0.3,0.00,0.00,5.39,0.00,3.2,3.2,102,116,13.0,3600.00,90
2010-03-01T15:00,-0.2,0.00,0.00,5.39,0.00,2.5,2.5,118,150,10.4,3600.00,90
2010-03-01T16:00,-0.1,0.00,0.00,5.39,0.00,2.5,2.5,22,348,9.7,1284.21,90
2010-03-01T17:00,-0.8,0.00,0.00,5.39,0.00,5.8,5.8,2,0,12.2,0.00,90
2010-03-01T18:00,-2.1,0.00,0.00,5.39,0.00,5.0,5.0,26,28,9.7,0.00,90
2010-03-01T19:00,-4.0,0.00,0.00,5.39,0.00,3.2,3.2,34,28,9.7,0.00,74
2010-03-01T20:00,-5.4,0.00,0.00,5.39,0.00,3.2,3.2,28,14,6.8,0.00,68
2010-03-01T21:00,-5.1,0.00,0.00,5.39,0.00,4.0,4.0,30,28,6.5,0.00,84
2010-03-01T22:00,-5.6,0.00,0.00,5.39,0.00,4.0,4.0,24,34,7.6,0.00,90
2010-03-01T23:00,-6.1,0.00,0.00,5.39,0.00,3.2,3.2,32,30,7.6,0.00,90
2010-03-02T00:00,-6.0,0.00,0.00,5.39,0.00,2.5,2.5,70,30,5.8,0.00,90
2010-03-02T01:00,-6.5,0.00,0.00,5.39,0.00,2.5,2.5,68,18,4.3,0.00,90
2010-03-02T02:00,-6.9,0.00,0.00,5.39,0.00,2.2,2.2,98,14,2.5,0.00,90
2010-03-02T03:00,-6.8,0.00,0.00,5.39,0.00,2.9,2.9,58,22,5.0,0.00,90
2010-03-02T04:00,-7.3,0.00,0.00,5.39,0.00,2.2,2.2,58,14,3.2,0.00,95
2010-03-02T05:00,-7.6,0.00,0.00,5.39,0.00,2.2,2.2,90,24,3.6,0.00,100
2010-03-02T06:00,-7.3,0.07,0.00,5.39,0.10,3.6,3.6,104,56,4.3,0.00,100
2010-03-02T07:00,-7.3,0.07,0.00,5.39,0.10,4.3,4.3,92,52,10.1,0.00,100
2010-03-02T08:00,-7.5,0.07,0.00,5.39,0.10,1.4,1.4,78,32,8.6,0.00,100
2010-03-02T09:00,-7.6,0.14,0.00,5.41,0.20,1.4,1.4,122,24,2.2,0.00,100
2010-03-02T10:00,-7.1,0.07,0.00,5.41,0.10,2.2,2.2,144,180,2.9,0.00,97
2010-03-02T11:00,-5.6,0.00,0.00,5.41,0.00,3.2,3.2,154,184,10.1,2989.97,31
2010-03-02T12:00,-3.8,0.00,0.00,5.41,0.00,2.2,2.2,110,156,10.1,3600.00,10
2010-03-02T13:00,-2.3,0.00,0.00,5.41,0.00,4.3,4.3,332,310,11.9,3600.00,34
2010-03-02T14:00,-1.8,0.00,0.00,5.41,0.00,7.9,7.9,306,294,17.3,3600.00,14
2010-03-02T15:00,-2.1,0.07,0.00,5.41,0.10,10.1,10.1,324,316,20.2,3600.00,79
2010-03-02T16:00,-2.5,0.07,0.00,5.41,0.10,7.9,7.9,324,322,20.2,3600.00,42
2010-03-02T17:00,-3.2,0.07,0.00,5.41,0.10,8.3,8.3,340,344,16.6,3600.00,96
2010-03-02T18:00,-4.3,0.14,0.00,5.41,0.20,9.0,9.0,346,350,18.4,0.00,69
2010-03-02T19:00,-5.6,0.00,0.00,5.41,0.00,6.1,6.1,12,6,17.3,812.28,42
2010-03-02T20:00,-6.7,0.00,0.00,5.41,0.00,6.8,6.8,12,6,12.2,0.00,46
2010-03-02T21:00,-6.7,0.00,0.00,5.41,0.00,6.5,6.5,356,356,14.8,0.00,11
2010-03-02T22:00,-8.1,0.00,0.00,5.41,0.00,6.1,6.1,354,348,11.2,0.00,7
2010-03-02T23:00,-8.9,0.00,0.00,5.41,0.00,6.1,6.1,12,6,11.9,0.00,12
2010-03-03T00:00,-9.4,0.00,0.00,5.41,0.00,1.4,1.4,88,358,8.3,0.00,6
2010-03-03T01:00,-10.5,0.00,0.00,5.41,0.00,2.5,2.5,116,8,2.5,0.00,10
2010-03-03T02:00,-11.3,0.00,0.00,5.41,0.00,4.0,4.0,132,208,4.3,0.00,20
2010-03-03T03:00,-10.9,0.00,0.00,5.41,0.00,2.9,2.9,130,242,5.0,0.00,46
2010-03-03T04:00,-10.9,0.00,0.00,5.41,0.00,3.2,3.2,150,210,4.0,0.00,42
2010-03-03T05:00,-10.9,0.00,0.00,5.41,0.00,3.6,3.6,154,200,6.1,0.00,36
2010-03-03T06:00,-10.9,0.00,0.00,5.41,0.00,3.2,3.2,136,238,3.6,0.00,24
2010-03-03T07:00,-11.4,0.00,0.00,5.41,0.00,4.3,4.3,156,200,5.8,0.00,9
2010-03-03T08:00,-11.4,0.00,0.00,5.41,0.00,4.7,4.7,152,192,8.3,0.00,22
2010-03-03T09:00,-10.7,0.00,0.00,5.40,0.00,5.8,5.8,156,166,14.0,0.00,54
2010-03-03T10:00,-8.4,0.00,0.00,5.40,0.00,6.1,6.1,146,166,13.7,153.19,67
2010-03-03T11:00,-4.5,0.00,0.00,5.40,0.00,7.6,7.6,150,158,18.7,3600.00,89
2010-03-03T12:00,-2.2,0.00,0.00,5.40,0.00,9.7,9.7,148,156,29.5,3600.00,90
2010-03-03T13:00,-1.3,0.00,0.00,5.39,0.00,10.4,10.4,148,150,35.6,3600.00,90
2010-03-03T14:00,-0.7,0.00,0.00,5.39,0.00,8.3,8.3,160,160,23.8,528.64,90
2010-03-03T15:00,-1.1,0.00,0.00,5.39,0.00,9.4,9.4,164,162,22.3,0.00,82
2010-03-03T16:00,-1.0,0.00,0.00,5.39,0.00,10.1,10.1,162,162,23.4,926.58,74
2010-03-03T17:00,-1.5,0.00,0.00,5.39,0.00,9.7,9.7,170,166,24.1,74.20,83
2010-03-03T18:00,-2.8,0.00,0.00,5.39,0.00,9.4,9.4,176,170,21.2,0.00,90
