latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
46.81741,10.020935,2527.42,7200,Europe/Zurich,GMT+2

time,temperature_2m (°C),snowfall (cm),rain (mm),snow_depth (m),precipitation (mm),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°),wind_gusts_10m (km/h),sunshine_duration (s),cloud_cover (%)
2010-03-04T00:00,-9.0,0.14,0.00,6.67,0.20,15.5,15.5,118,126,29.5,0.00,100
2010-03-04T01:00,-9.2,0.28,0.00,6.67,0.40,14.8,14.8,120,122,27.4,0.00,100
2010-03-04T02:00,-9.2,0.28,0.00,6.68,0.40,14.8,14.8,116,122,26.6,0.00,100
2010-03-04T03:00,-9.3,0.21,0.00,6.68,0.30,15.5,15.5,118,118,30.2,0.00,100
2010-03-04T04:00,-9.4,0.21,0.00,6.68,0.30,13.7,13.7,118,118,27.4,0.00,100
2010-03-04T05:00,-9.6,0.21,0.00,6.69,0.30,11.5,11.5,120,120,24.1,0.00,100
2010-03-04T06:00,-9.5,0.21,0.00,6.69,0.30,11.9,11.9,124,120,21.6,0.00,100
2010-03-04T07:00,-9.8,0.21,0.00,6.69,0.30,10.1,10.1,126,120,19.8,0.00,100
2010-03-04T08:00,-10.3,0.21,0.00,6.69,0.30,7.2,7.2,134,124,15.8,0.00,100
2010-03-04T09:00,-10.4,0.14,0.00,6.73,0.20,1.8,1.8,114,22,9.7,0.00,100
2010-03-04T10:00,-10.5,0.07,0.00,6.73,0.10,2.5,2.5,12,348,2.5,0.00,100
2010-03-04T11:00,-10.2,0.07,0.00,6.73,0.10,3.6,3.6,338,346,4.0,0.00,100
2010-03-04T12:00,-9.3,0.07,0.00,6.73,0.10,9.0,9.0,352,356,15.8,0.00,100
2010-03-04T13:00,-8.8,0.07,0.00,6.73,0.10,11.5,11.5,344,352,20.5,0.00,100
2010-03-04T14:00,-8.8,0.07,0.10,6.74,0.20,12.2,12.2,338,346,22.3,0.00,100
2010-03-04T15:00,-9.6,0.07,0.00,6.74,0.10,13.0,13.0,340,348,23.4,0.00,100
2010-03-04T16:00,-10.4,0.14,0.00,6.74,0.20,13.7,13.7,342,352,25.2,0.00,100
2010-03-04T17:00,-11.4,0.14,0.00,6.74,0.20,14.4,14.4,340,352,27.4,0.00,100
2010-03-04T18:00,-12.4,0.21,0.00,6.74,0.30,15.5,15.5,340,352,28.1,0.00,100
2010-03-04T19:00,-13.1,0.14,0.00,6.75,0.20,14.0,14.0,336,350,28.1,0.00,100
2010-03-04T20:00,-13.5,0.07,0.00,6.75,0.10,14.4,14.4,336,350,25.6,0.00,100
2010-03-04T21:00,-13.7,0.07,0.00,6.75,0.10,13.7,13.7,350,4,27.0,0.00,100
2010-03-04T22:00,-14.3,0.07,0.00,6.75,0.10,12.6,12.6,344,0,24.8,0.00,100
2010-03-04T23:00,-14.8,0.07,0.00,6.75,0.10,13.0,13.0,344,358,23.8,0.00,100
2010-03-05T00:00,-15.1,0.07,0.00,6.75,0.10,12.6,12.6,348,358,23.4,0.00,100
2010-03-05T01:00,-15.6,0.07,0.00,6.75,0.10,11.5,11.5,350,2,23.0,0.00,100
2010-03-05T02:00,-16.1,0.07,0.00,6.75,0.10,11.9,11.9,348,360,22.0,0.00,100
2010-03-05T03:00,-15.6,0.07,0.00,6.75,0.10,11.9,11.9,346,358,21.2,0.00,100
2010-03-05T04:00,-15.9,0.14,0.00,6.75,0.20,14.4,14.4,342,352,25.9,0.00,100
2010-03-05T05:00,-16.3,0.21,0.00,6.75,0.30,15.1,15.1,338,346,27.7,0.00,91
2010-03-05T06:00,-16.1,0.21,0.00,6.76,0.30,13.7,13.7,352,2,25.6,0.00,100
2010-03-05T07:00,-16.8,0.14,0.00,6.76,0.20,14.8,14.8,342,350,27.0,0.00,90
2010-03-05T08:00,-17.2,0.14,0.00,6.76,0.20,16.2,16.2,338,344,29.5,0.00,90
2010-03-05T09:00,-17.7,0.14,0.00,6.76,0.20,20.2,20.2,334,340,36.4,0.00,90
2010-03-05T10:00,-18.4,0.14,0.00,6.77,0.20,21.2,21.2,334,340,38.5,0.00,90
2010-03-05T11:00,-18.7,0.14,0.00,6.77,0.20,20.9,20.9,336,342,39.2,223.24,90
2010-03-05T12:00,-18.4,0.07,0.00,6.77,0.10,21.2,21.2,336,342,38.9,3600.00,90
2010-03-05T13:00,-17.9,0.14,0.00,6.77,0.20,23.0,23.0,328,334,42.1,3024.47,90
2010-03-05T14:00,-17.4,0.14,0.00,6.77,0.20,24.5,24.5,332,336,45.0,0.00,90
2010-03-05T15:00,-18.2,0.07,0.00,6.77,0.10,22.7,22.7,334,338,43.9,0.00,90
2010-03-05T16:00,-18.4,0.07,0.00,6.77,0.10,23.8,23.8,332,338,43.2,66.83,90
2010-03-05T17:00,-18.6,0.07,0.00,6.77,0.10,24.5,24.5,330,336,45.0,188.13,90
2010-03-05T18:00,-19.2,0.00,0.00,6.77,0.00,22.3,22.3,336,342,43.6,1450.18,90
2010-03-05T19:00,-19.8,0.00,0.00,6.77,0.00,19.4,19.4,336,344,41.0,0.00,90
2010-03-05T20:00,-20.2,0.07,0.00,6.77,0.10,20.5,20.5,334,340,38.2,0.00,90
2010-03-05T21:00,-20.2,0.00,0.00,6.77,0.00,18.7,18.7,338,346,38.9,0.00,90
2010-03-05T22:00,-20.7,0.00,0.00,6.77,0.00,17.3,17.3,336,342,34.2,0.00,90
2010-03-05T23:00,-21.6,0.00,0.00,6.77,0.00,15.8,15.8,336,338,31.0,0.00,84
