latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
45.99086,6.863617,2202.28,7200,Europe/Zurich,GMT+2

time,temperature_2m (°C),snowfall (cm),rain (mm),snow_depth (m),precipitation (mm),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°),wind_gusts_10m (km/h),sunshine_duration (s),cloud_cover (%)
2009-12-07T00:00,-1.6,1.61,0.00,3.25,2.30,10.8,10.8,200,206,19.8,0.00,100
2009-12-07T01:00,-1.7,1.19,0.00,3.26,1.70,10.4,10.4,208,214,19.8,0.00,100
2009-12-07T02:00,-1.9,1.89,0.00,3.29,2.70,9.0,9.0,214,220,18.4,0.00,100
2009-12-07T03:00,-1.8,1.96,0.00,3.31,2.80,9.0,9.0,202,210,17.3,0.00,100
2009-12-07T04:00,-1.9,1.05,0.00,3.33,1.50,8.6,8.6,208,212,15.8,0.00,100
2009-12-07T05:00,-2.1,1.47,0.00,3.35,2.10,7.9,7.9,214,220,14.8,0.00,100
2009-12-07T06:00,-2.1,1.75,0.00,3.37,2.50,8.3,8.3,212,216,16.6,0.00,100
2009-12-07T07:00,-2.2,1.19,0.00,3.39,1.70,6.1,6.1,216,216,14.0,0.00,100
2009-12-07T08:00,-2.2,1.19,0.00,3.40,1.70,5.8,5.8,218,216,10.4,0.00,100
2009-12-07T09:00,-2.2,0.91,0.00,3.35,1.30,6.8,6.8,214,214,12.2,0.00,100
2009-12-07T10:00,-2.1,0.49,0.00,3.35,0.70,6.5,6.5,216,214,12.2,0.00,100
2009-12-07T11:00,-2.0,0.56,0.00,3.36,0.80,7.9,7.9,226,224,12.6,0.00,100
2009-12-07T12:00,-1.7,0.49,0.00,3.37,0.70,7.2,7.2,236,218,11.9,0.00,100
2009-12-07T13:00,-1.6,0.63,0.00,3.38,0.90,7.9,7.9,226,214,14.0,0.00,100
2009-12-07T14:00,-1.5,0.91,0.00,3.39,1.30,9.4,9.4,220,218,16.2,0.00,100
2009-12-07T15:00,-1.4,0.77,0.00,3.40,1.10,7.9,7.9,222,218,14.0,0.00,100
2009-12-07T16:00,-1.3,0.84,0.00,3.41,1.20,9.4,9.4,218,218,16.6,0.00,100
2009-12-07T17:00,-1.5,1.54,0.10,3.43,2.30,11.2,11.2,206,214,20.5,0.00,100
2009-12-07T18:00,-1.1,1.68,0.00,3.45,2.40,13.0,13.0,208,214,25.6,0.00,100
2009-12-07T19:00,-1.1,1.40,0.00,3.47,2.00,12.2,12.2,208,216,24.8,0.00,100
2009-12-07T20:00,-1.0,1.19,0.00,3.49,1.70,13.0,13.0,208,214,24.5,0.00,100
2009-12-07T21:00,-0.8,0.14,0.00,3.49,0.20,10.1,10.1,212,214,22.7,0.00,100
2009-12-07T22:00,-0.8,0.77,0.00,3.50,1.10,16.9,16.9,210,216,33.8,0.00,99
2009-12-07T23:00,-0.7,0.42,0.20,3.51,0.80,20.2,20.2,210,214,42.8,0.00,100
