latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
46.388844,7.212723,2181.07,7200,Europe/Zurich,GMT+2

time,temperature_2m (°C),snowfall (cm),rain (mm),snow_depth (m),precipitation (mm),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°),wind_gusts_10m (km/h),sunshine_duration (s),cloud_cover (%)
1997-02-02T00:00,-11.5,0.00,0.00,2.87,0.00,9.4,9.4,172,178,11.2,0.00,0
1997-02-02T01:00,-11.4,0.00,0.00,2.87,0.00,10.8,10.8,174,184,11.5,0.00,0
1997-02-02T02:00,-11.1,0.00,0.00,2.87,0.00,10.1,10.1,174,198,11.9,0.00,0
1997-02-02T03:00,-11.5,0.00,0.00,2.87,0.00,10.4,10.4,170,162,12.6,0.00,0
1997-02-02T04:00,-11.4,0.00,0.00,2.87,0.00,10.8,10.8,174,184,13.0,0.00,0
1997-02-02T05:00,-11.2,0.00,0.00,2.87,0.00,9.7,9.7,176,198,13.7,0.00,0
1997-02-02T06:00,-11.9,0.00,0.00,2.87,0.00,10.1,10.1,170,166,12.6,0.00,0
1997-02-02T07:00,-11.7,0.00,0.00,2.87,0.00,10.8,10.8,174,188,12.2,0.00,1
1997-02-02T08:00,-11.5,0.00,0.00,2.87,0.00,9.7,9.7,176,204,13.0,0.00,4
1997-02-02T09:00,-12.0,0.00,0.00,2.86,0.00,10.8,10.8,180,188,13.7,0.00,14
1997-02-02T10:00,-11.2,0.00,0.00,2.86,0.00,10.4,10.4,180,200,11.9,2054.88,20
1997-02-02T11:00,-8.4,0.00,0.00,2.86,0.00,9.0,9.0,182,208,11.5,3600.00,27
1997-02-02T12:00,-4.7,0.00,0.00,2.86,0.00,7.6,7.6,184,186,11.2,3600.00,23
1997-02-02T13:00,-2.4,0.00,0.00,2.86,0.00,6.5,6.5,190,196,14.4,3600.00,57
1997-02-02T14:00,-1.2,0.00,0.00,2.86,0.00,6.1,6.1,200,202,15.5,3600.00,59
1997-02-02T15:00,-1.2,0.00,0.00,2.86,0.00,4.3,4.3,192,182,14.0,3600.00,20
1997-02-02T16:00,-1.1,0.00,0.00,2.86,0.00,3.2,3.2,232,216,12.2,3600.00,24
1997-02-02T17:00,-2.1,0.00,0.00,2.85,0.00,4.0,4.0,258,246,9.4,3600.00,28
1997-02-02T18:00,-5.3,0.00,0.00,2.85,0.00,3.6,3.6,186,172,8.6,3600.00,20
