latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
46.539776,8.071762,3530.14,7200,Europe/Zurich,GMT+2

time,temperature_2m_cerra (°C),snowfall_cerra (cm),rain_cerra (mm),snow_depth_cerra (m),precipitation_cerra (mm),wind_speed_10m_cerra (km/h),wind_speed_100m_cerra (km/h),wind_direction_10m_cerra (°),wind_direction_100m_cerra (°),wind_gusts_10m_cerra (km/h),sunshine_duration_cerra (s),cloud_cover_cerra (%),temperature_2m_archive_best_match (°C),snowfall_archive_best_match (cm),rain_archive_best_match (mm),snow_depth_archive_best_match (m),precipitation_archive_best_match (mm),wind_speed_10m_archive_best_match (km/h),wind_speed_100m_archive_best_match (km/h),wind_direction_10m_archive_best_match (°),wind_direction_100m_archive_best_match (°),wind_gusts_10m_archive_best_match (km/h),sunshine_duration_archive_best_match (s),cloud_cover_archive_best_match (%)
2002-10-20T00:00,-14.5,0.00,0.00,1.87,0.00,10.1,10.1,250,264,18.0,0.00,68,-18.4,0.00,0.00,30.90,0.00,3.1,2.4,126,153,27.0,0.00,81
2002-10-20T01:00,-14.1,0.00,0.00,1.87,0.00,12.6,12.6,252,260,22.3,0.00,46,-19.6,0.00,0.00,30.90,0.00,3.3,2.5,103,180,29.2,0.00,96
2002-10-20T02:00,-14.4,0.00,0.00,1.87,0.00,14.4,14.4,256,260,26.6,0.00,54,-20.0,0.00,0.00,30.90,0.00,3.5,4.3,114,185,30.2,0.00,74
2002-10-20T03:00,-14.8,0.00,0.00,1.87,0.00,14.8,14.8,264,266,28.8,0.00,48,-19.5,0.00,0.00,30.90,0.00,3.3,2.9,96,187,30.2,0.00,70
2002-10-20T04:00,-15.2,0.00,0.00,1.87,0.00,14.0,14.0,266,268,27.7,0.00,50,-18.9,0.00,0.00,30.90,0.00,2.5,1.8,98,217,31.0,0.00,77
2002-10-20T05:00,-14.9,0.00,0.00,1.87,0.00,14.8,14.8,266,270,27.0,0.00,49,-17.6,0.00,0.00,30.90,0.00,2.5,2.3,98,198,32.8,0.00,91
2002-10-20T06:00,-14.2,0.00,0.00,1.87,0.00,15.5,15.5,274,274,30.6,0.00,63,-16.5,0.00,0.00,30.90,0.00,2.5,3.2,98,207,33.5,0.00,90
2002-10-20T07:00,-14.0,0.00,0.00,1.87,0.00,15.5,15.5,274,274,29.2,0.00,49,-15.7,0.00,0.00,30.90,0.00,2.6,4.8,106,207,35.3,0.00,86
2002-10-20T08:00,-13.6,0.00,0.00,1.87,0.00,16.2,16.2,270,272,30.2,0.00,69,-14.8,0.00,0.00,30.90,0.00,2.6,6.0,106,205,37.1,0.00,90
2002-10-20T09:00,-11.7,0.00,0.00,1.86,0.00,18.4,18.4,278,276,36.4,0.00,65,-15.1,0.00,0.00,30.90,0.00,3.0,6.3,104,204,35.6,2271.27,94
2002-10-20T10:00,-10.7,0.00,0.00,1.86,0.00,17.6,17.6,272,274,32.8,0.00,68,-12.8,0.00,0.00,30.90,0.00,3.9,7.0,112,192,36.0,3600.00,74
2002-10-20T11:00,-8.4,0.00,0.00,1.86,0.00,19.1,19.1,276,274,36.0,0.00,78,-9.0,0.00,0.00,30.90,0.00,5.4,7.6,143,185,37.1,3600.00,31
2002-10-20T12:00,-6.2,0.00,0.00,1.86,0.00,18.0,18.0,264,266,37.4,0.00,100,-5.7,0.00,0.00,30.90,0.00,2.9,8.0,173,175,37.4,3600.00,93
2002-10-20T13:00,-3.3,0.00,0.20,1.86,0.20,23.8,23.8,278,274,47.5,0.00,100,-3.8,0.00,0.00,30.90,0.00,3.4,9.4,162,176,36.7,3600.00,98
2002-10-20T14:00,-2.6,0.00,0.30,1.86,0.30,23.4,23.4,278,276,46.1,0.00,100,-2.6,0.00,0.00,30.90,0.00,4.0,6.8,153,180,36.0,3600.00,87
2002-10-20T15:00,-3.3,0.00,0.00,1.86,0.00,19.8,19.8,264,264,46.4,0.00,100,-2.1,0.00,0.00,30.90,0.00,4.2,6.5,149,180,35.3,3600.00,80
2002-10-20T16:00,-2.5,0.00,0.00,1.86,0.00,22.0,22.0,272,270,44.3,0.00,93,-1.9,0.00,0.00,30.90,0.00,4.7,7.2,148,174,34.9,3600.00,47
2002-10-20T17:00,-2.6,0.00,0.00,1.86,0.00,19.4,19.4,282,278,42.1,0.00,23,-2.9,0.00,0.00,30.90,0.00,5.4,6.3,132,167,34.6,3600.00,27
2002-10-20T18:00,-4.9,0.00,0.00,1.87,0.00,15.5,15.5,282,282,38.5,0.00,40,-4.0,0.00,0.00,30.90,0.00,5.6,7.3,135,171,33.5,3600.00,25
2002-10-20T19:00,-6.6,0.00,0.00,1.87,0.00,14.8,14.8,294,292,28.4,0.00,80,-5.0,0.00,0.00,30.90,0.00,6.4,7.9,133,164,32.0,0.00,8
2002-10-20T20:00,-7.1,0.00,0.00,1.87,0.00,10.1,10.1,270,276,26.6,0.00,21,-5.7,0.00,0.00,30.90,0.00,6.6,8.7,135,156,29.2,0.00,4
2002-10-20T21:00,-8.1,0.00,0.00,1.87,0.00,9.4,9.4,200,228,19.4,0.00,23,-6.0,0.00,0.00,30.90,0.00,6.9,9.3,137,152,27.4,0.00,1
2002-10-20T22:00,-8.9,0.00,0.00,1.87,0.00,9.0,9.0,204,238,16.9,0.00,29,-6.5,0.00,0.00,30.90,0.00,7.4,10.2,137,148,29.9,0.00,0
2002-10-20T23:00,-9.2,0.00,0.00,1.87,0.00,9.7,9.7,200,230,18.7,0.00,26,-6.8,0.00,0.00,30.90,0.00,8.2,11.4,139,145,34.2,0.00,0
2002-10-21T00:00,-9.7,0.00,0.00,1.87,0.00,9.7,9.7,190,214,18.4,0.00,25,-6.8,0.00,0.00,30.90,0.00,8.7,12.4,138,144,37.4,0.00,65
2002-10-21T01:00,-10.1,0.00,0.00,1.87,0.00,15.1,15.1,174,196,25.6,0.00,11,-7.0,0.00,0.00,30.90,0.00,9.5,14.1,143,148,40.3,0.00,74
