latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
46.719975,9.945038,2527.65,7200,Europe/Zurich,GMT+2

time,temperature_2m_cerra (°C),snowfall_cerra (cm),rain_cerra (mm),snow_depth_cerra (m),precipitation_cerra (mm),wind_speed_10m_cerra (km/h),wind_speed_100m_cerra (km/h),wind_direction_10m_cerra (°),wind_direction_100m_cerra (°),wind_gusts_10m_cerra (km/h),sunshine_duration_cerra (s),cloud_cover_cerra (%),temperature_2m_archive_best_match (°C),snowfall_archive_best_match (cm),rain_archive_best_match (mm),snow_depth_archive_best_match (m),precipitation_archive_best_match (mm),wind_speed_10m_archive_best_match (km/h),wind_speed_100m_archive_best_match (km/h),wind_direction_10m_archive_best_match (°),wind_direction_100m_archive_best_match (°),wind_gusts_10m_archive_best_match (km/h),sunshine_duration_archive_best_match (s),cloud_cover_archive_best_match (%)
1996-12-17T00:00,-15.1,0.00,0.00,3.15,0.00,8.6,8.6,142,174,9.7,0.00,30,-7.5,0.00,0.00,1.26,0.00,1.3,7.6,34,211,25.2,0.00,84
1996-12-17T01:00,-15.1,0.00,0.00,3.15,0.00,8.6,8.6,146,178,9.7,0.00,29,-7.7,0.00,0.00,1.25,0.00,1.6,7.4,27,203,26.3,0.00,72
1996-12-17T02:00,-15.2,0.00,0.00,3.15,0.00,8.6,8.6,148,186,9.7,0.00,30,-7.9,0.00,0.00,1.25,0.00,2.4,7.6,333,205,25.9,0.00,58
1996-12-17T03:00,-16.2,0.00,0.00,3.15,0.00,9.7,9.7,140,176,10.1,0.00,30,-8.0,0.00,0.00,1.25,0.00,3.4,8.1,328,212,25.2,0.00,18
1996-12-17T04:00,-16.2,0.00,0.00,3.15,0.00,9.7,9.7,146,186,10.1,0.00,22,-8.1,0.00,0.00,1.25,0.00,3.1,7.9,324,210,24.8,0.00,6
1996-12-17T05:00,-16.2,0.00,0.00,3.15,0.00,9.7,9.7,144,182,9.7,0.00,22,-8.3,0.00,0.00,1.25,0.00,3.1,7.6,339,205,23.8,0.00,2
1996-12-17T06:00,-17.0,0.00,0.00,3.15,0.00,8.6,8.6,146,194,9.7,0.00,29,-8.6,0.00,0.00,1.25,0.00,2.9,6.6,353,209,22.0,0.00,2
1996-12-17T07:00,-16.9,0.00,0.00,3.15,0.00,7.6,7.6,154,206,8.6,0.00,29,-9.1,0.00,0.00,1.25,0.00,2.9,6.6,353,221,20.5,0.00,36
1996-12-17T08:00,-16.8,0.00,0.00,3.15,0.00,6.8,6.8,152,196,7.6,0.00,30,-9.6,0.00,0.00,1.25,0.00,3.2,6.9,360,227,19.8,0.00,54
1996-12-17T09:00,-17.0,0.00,0.00,3.14,0.00,5.8,5.8,148,200,7.6,0.00,30,-13.3,0.00,0.00,1.25,0.00,3.3,6.6,6,229,18.4,0.00,63
1996-12-17T10:00,-17.1,0.00,0.00,3.14,0.00,6.5,6.5,154,188,7.9,369.04,25,-14.8,0.00,0.00,1.25,0.00,2.5,6.1,8,225,16.2,1406.41,71
1996-12-17T11:00,-16.4,0.00,0.00,3.14,0.00,6.8,6.8,158,188,8.3,3600.00,30,-14.5,0.00,0.00,1.25,0.00,2.2,6.1,9,225,15.5,3600.00,95
1996-12-17T12:00,-15.9,0.00,0.00,3.14,0.00,6.5,6.5,150,184,7.9,3600.00,43,-11.5,0.00,0.00,1.25,0.00,1.8,4.7,360,247,14.0,3600.00,100
1996-12-17T13:00,-14.5,0.00,0.00,3.14,0.00,6.1,6.1,164,216,7.6,3600.00,45,-8.7,0.00,0.00,1.25,0.00,1.1,5.4,360,233,14.0,3600.00,99
1996-12-17T14:00,-13.4,0.00,0.00,3.14,0.00,5.8,5.8,174,220,7.6,3600.00,47,-7.3,0.00,0.00,1.25,0.00,1.1,6.6,342,225,14.8,3600.00,63
1996-12-17T15:00,-13.4,0.00,0.00,3.14,0.00,5.4,5.4,164,216,7.2,3600.00,42,-7.2,0.00,0.00,1.25,0.00,1.8,6.7,349,234,14.4,3600.00,59
1996-12-17T16:00,-13.5,0.00,0.00,3.14,0.00,5.8,5.8,170,216,7.2,3600.00,52,-7.7,0.00,0.00,1.25,0.00,2.2,6.0,360,237,13.7,3600.00,62
1996-12-17T17:00,-14.0,0.00,0.00,3.14,0.00,5.4,5.4,164,212,7.2,442.31,70,-8.4,0.00,0.00,1.24,0.00,1.8,4.7,360,247,13.7,3431.96,84
