latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
45.94293,7.006592,3052.29,7200,Europe/Zurich,GMT+2

time,temperature_2m (°C),snowfall (cm),rain (mm),snow_depth (m),precipitation (mm),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°),wind_gusts_10m (km/h),sunshine_duration (s),cloud_cover (%)
2009-04-13T00:00,-5.8,0.00,0.00,23.06,0.00,4.3,4.3,146,156,11.2,0.00,74
2009-04-13T01:00,-7.3,0.00,0.00,23.06,0.00,3.6,3.6,152,168,8.3,0.00,94
2009-04-13T02:00,-7.7,0.00,0.00,23.06,0.00,3.2,3.2,148,166,6.5,0.00,90
2009-04-13T03:00,-7.6,0.00,0.00,23.06,0.00,4.7,4.7,160,178,9.7,0.00,62
2009-04-13T04:00,-8.6,0.00,0.00,23.06,0.00,2.9,2.9,164,192,9.0,0.00,52
2009-04-13T05:00,-9.6,0.00,0.00,23.06,0.00,2.9,2.9,140,170,6.5,0.00,23
2009-04-13T06:00,-9.3,0.00,0.00,23.06,0.00,4.3,4.3,142,172,5.8,0.00,85
2009-04-13T07:00,-9.4,0.00,0.00,23.06,0.00,2.5,2.5,114,148,5.8,0.00,66
2009-04-13T08:00,-9.8,0.00,0.00,23.06,0.00,3.6,3.6,108,96,4.7,604.28,4
2009-04-13T09:00,-9.4,0.00,0.00,23.04,0.00,2.2,2.2,94,52,5.4,3600.00,0
2009-04-13T10:00,-8.4,0.00,0.00,23.04,0.00,3.2,3.2,34,52,3.2,3600.00,0
2009-04-13T11:00,-6.6,0.00,0.00,23.04,0.00,4.3,4.3,38,46,6.1,3600.00,1
2009-04-13T12:00,-4.5,0.00,0.00,23.04,0.00,6.8,6.8,2,6,12.6,3600.00,1
2009-04-13T13:00,-2.8,0.00,0.00,23.04,0.00,9.7,9.7,360,4,18.4,3600.00,1
2009-04-13T14:00,-1.9,0.00,0.00,23.04,0.00,10.4,10.4,4,8,20.9,3600.00,0
2009-04-13T15:00,-1.7,0.00,0.00,23.04,0.00,10.8,10.8,8,14,22.0,3600.00,71
2009-04-13T16:00,-1.2,0.00,0.00,23.04,0.00,10.4,10.4,358,2,21.2,3600.00,82
2009-04-13T17:00,-1.6,0.07,0.00,23.04,0.10,11.5,11.5,350,356,22.7,929.33,98
2009-04-13T18:00,-2.6,0.07,0.00,23.04,0.10,10.1,10.1,358,2,23.8,3600.00,100
2009-04-13T19:00,-3.1,0.14,0.00,23.04,0.20,9.4,9.4,2,4,18.7,200.41,88
2009-04-13T20:00,-4.1,0.35,0.00,23.04,0.50,6.8,6.8,360,2,17.6,0.00,100
2009-04-13T21:00,-3.5,0.49,0.00,23.05,0.70,5.4,5.4,342,348,11.9,0.00,97
2009-04-13T22:00,-3.6,0.07,0.00,23.05,0.10,5.0,5.0,18,14,12.2,0.00,90
2009-04-13T23:00,-3.9,0.07,0.00,23.05,0.10,3.2,3.2,130,70,10.8,0.00,90
2009-04-14T00:00,-4.1,0.07,0.00,23.05,0.10,4.3,4.3,164,164,17.6,0.00,100
2009-04-14T01:00,-4.6,0.07,0.00,23.05,0.10,4.3,4.3,152,172,9.4,0.00,90
2009-04-14T02:00,-5.3,0.00,0.00,23.05,0.00,7.6,7.6,162,172,17.6,0.00,38
2009-04-14T03:00,-6.6,0.00,0.00,23.05,0.00,8.6,8.6,164,168,19.8,0.00,34
2009-04-14T04:00,-8.3,0.00,0.00,23.05,0.00,9.7,9.7,174,174,22.7,0.00,25
2009-04-14T05:00,-9.4,0.00,0.00,23.05,0.00,8.3,8.3,176,186,20.9,0.00,100
