latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
46.490215,7.7848663,3470.57,7200,Europe/Zurich,GMT+2

time,temperature_2m_cerra (°C),snowfall_cerra (cm),rain_cerra (mm),snow_depth_cerra (m),precipitation_cerra (mm),wind_speed_10m_cerra (km/h),wind_speed_100m_cerra (km/h),wind_direction_10m_cerra (°),wind_direction_100m_cerra (°),wind_gusts_10m_cerra (km/h),sunshine_duration_cerra (s),cloud_cover_cerra (%),temperature_2m_archive_best_match (°C),snowfall_archive_best_match (cm),rain_archive_best_match (mm),snow_depth_archive_best_match (m),precipitation_archive_best_match (mm),wind_speed_10m_archive_best_match (km/h),wind_speed_100m_archive_best_match (km/h),wind_direction_10m_archive_best_match (°),wind_direction_100m_archive_best_match (°),wind_gusts_10m_archive_best_match (km/h),sunshine_duration_archive_best_match (s),cloud_cover_archive_best_match (%)
1997-10-12T00:00,-4.1,0.07,3.40,0.10,3.50,33.8,33.8,254,260,78.8,0.00,100,-7.1,0.00,1.90,0.02,1.90,4.7,11.6,180,202,90.0,0.00,98
1997-10-12T01:00,-4.7,0.00,0.10,0.10,0.10,29.5,29.5,262,264,78.1,0.00,90,-6.9,0.00,1.10,0.02,1.10,4.0,11.9,185,215,90.0,0.00,92
1997-10-12T02:00,-4.8,0.00,0.10,0.09,0.10,26.6,26.6,254,260,63.4,0.00,100,-7.1,0.00,0.50,0.02,0.50,6.2,11.5,187,221,85.3,0.00,97
1997-10-12T03:00,-4.2,0.21,0.70,0.09,1.00,33.5,33.5,252,256,70.9,0.00,100,-7.4,0.00,1.00,0.02,1.00,5.2,10.5,192,232,84.6,0.00,98
1997-10-12T04:00,-4.6,0.14,1.00,0.09,1.20,33.8,33.8,268,268,77.0,0.00,100,-7.3,0.00,1.40,0.02,1.40,4.4,10.5,215,243,86.4,0.00,98
1997-10-12T05:00,-5.0,0.14,1.00,0.09,1.20,31.3,31.3,268,268,72.7,0.00,100,-7.2,0.14,1.90,0.02,2.10,3.2,10.0,207,240,87.5,0.00,100
1997-10-12T06:00,-5.6,1.82,2.20,0.11,4.80,26.6,26.6,266,268,65.9,0.00,100,-7.6,0.28,1.20,0.03,1.60,3.9,10.2,202,231,87.5,0.00,99
1997-10-12T07:00,-5.5,2.87,1.70,0.14,5.80,29.5,29.5,274,274,67.0,0.00,100,-8.1,0.35,1.00,0.03,1.50,4.1,11.3,232,239,88.9,0.00,100
1997-10-12T08:00,-6.5,3.15,0.50,0.18,5.00,32.4,32.4,280,278,67.3,0.00,100,-8.9,0.49,0.70,0.03,1.40,5.4,12.9,290,283,87.5,0.00,100
1997-10-12T09:00,-9.5,0.42,0.00,0.19,0.60,25.2,25.2,256,258,73.4,0.00,90,-8.2,0.42,0.70,0.04,1.30,7.0,12.5,282,282,86.0,1293.03,100
1997-10-12T10:00,-9.6,0.35,0.00,0.19,0.50,24.1,24.1,248,254,54.4,0.00,100,-8.3,0.56,0.30,0.04,1.10,4.7,8.0,270,265,78.8,3048.25,100
1997-10-12T11:00,-9.6,2.17,0.00,0.22,3.10,24.5,24.5,266,266,74.9,0.00,100,-9.0,1.12,0.20,0.05,1.80,4.5,7.2,284,276,69.1,0.00,97
1997-10-12T12:00,-10.0,2.38,0.00,0.25,3.40,21.6,21.6,290,284,48.2,0.00,100,-8.9,1.61,0.20,0.06,2.50,4.3,7.7,294,281,64.4,0.00,99
1997-10-12T13:00,-10.1,2.38,0.00,0.28,3.40,21.2,21.2,294,288,43.2,0.00,100,-9.4,2.17,0.20,0.08,3.30,4.8,8.1,297,291,68.8,0.00,99
1997-10-12T14:00,-10.3,2.87,0.00,0.32,4.10,19.1,19.1,300,296,42.5,0.00,100,-9.8,2.52,0.10,0.11,3.70,4.1,7.4,308,299,68.0,0.00,100
1997-10-12T15:00,-10.1,2.52,0.00,0.35,3.60,16.9,16.9,278,276,36.7,0.00,100,-9.6,2.73,0.10,0.14,4.00,5.1,8.5,315,306,63.7,0.00,100
1997-10-12T16:00,-10.1,2.24,0.00,0.38,3.20,18.4,18.4,296,292,36.0,0.00,100,-9.8,2.38,0.10,0.17,3.50,5.4,9.7,318,312,63.7,0.00,100
1997-10-12T17:00,-10.1,2.45,0.00,0.41,3.50,22.0,22.0,310,306,42.1,0.00,100,-9.9,2.24,0.10,0.19,3.30,6.1,12.3,315,310,64.4,0.00,100
1997-10-12T18:00,-10.2,3.01,0.00,0.45,4.30,23.0,23.0,328,328,42.5,0.00,100,-10.3,1.75,0.20,0.21,2.70,7.2,13.3,323,319,68.4,0.00,100
1997-10-12T19:00,-11.8,3.22,0.00,0.50,4.60,25.2,25.2,344,350,52.2,0.00,100,-10.9,1.33,0.00,0.23,1.90,8.8,15.3,325,326,70.9,0.00,100
1997-10-12T20:00,-12.6,2.45,0.00,0.53,3.50,27.4,27.4,348,354,50.4,0.00,90,-11.2,0.91,0.00,0.24,1.30,9.1,15.6,326,326,70.9,0.00,100
1997-10-12T21:00,-12.3,1.33,0.00,0.55,1.90,32.4,32.4,346,350,58.7,0.00,90,-12.1,0.63,0.00,0.24,0.90,8.6,13.9,327,329,68.4,0.00,98
1997-10-12T22:00,-12.5,1.12,0.00,0.56,1.60,31.0,31.0,348,354,58.3,0.00,90,-12.4,0.42,0.00,0.24,0.60,5.0,11.8,330,329,50.8,0.00,90
1997-10-12T23:00,-12.5,1.12,0.00,0.58,1.60,27.7,27.7,348,354,55.1,0.00,90,-12.3,0.35,0.00,0.25,0.50,4.7,9.6,328,326,45.4,0.00,89
1997-10-13T00:00,-12.5,1.33,0.00,0.59,1.90,24.5,24.5,350,358,54.0,0.00,90,-12.6,0.28,0.00,0.25,0.40,5.7,9.6,325,326,40.0,0.00,99
1997-10-13T01:00,-12.6,1.54,0.00,0.62,2.20,19.8,19.8,344,350,42.5,0.00,93,-13.2,0.14,0.00,0.25,0.20,4.4,8.4,325,320,33.1,0.00,92
1997-10-13T02:00,-12.6,0.91,0.00,0.63,1.30,23.0,23.0,350,358,40.3,0.00,93,-13.1,0.07,0.00,0.25,0.10,4.7,6.9,328,321,30.6,0.00,83
1997-10-13T03:00,-12.8,0.42,0.00,0.63,0.60,19.1,19.1,358,8,39.2,0.00,100,-13.3,0.07,0.00,0.25,0.10,4.2,6.4,329,322,26.3,0.00,85
1997-10-13T04:00,-13.2,0.21,0.00,0.64,0.30,15.5,15.5,14,24,33.8,0.00,100,-13.4,0.07,0.00,0.25,0.00,2.7,6.2,337,324,24.5,0.00,98
1997-10-13T05:00,-13.4,0.07,0.10,0.64,0.20,13.0,13.0,16,28,28.4,0.00,100,-13.7,0.07,0.00,0.25,0.00,2.1,4.9,329,324,24.5,0.00,100
1997-10-13T06:00,-13.4,0.14,0.00,0.64,0.20,10.4,10.4,18,26,24.8,0.00,97,-13.9,0.07,0.00,0.25,0.00,2.0,4.1,315,322,23.0,0.00,98
1997-10-13T07:00,-13.1,0.14,0.00,0.64,0.20,8.3,8.3,24,26,19.1,0.00,91,-13.9,0.14,0.00,0.25,0.20,1.8,3.9,323,326,23.0,0.00,99
1997-10-13T08:00,-13.1,0.14,0.00,0.64,0.20,7.9,7.9,4,16,15.8,0.00,98,-14.2,0.21,0.00,0.25,0.30,2.1,4.7,329,328,23.8,0.00,99
1997-10-13T09:00,-13.2,0.28,0.00,0.65,0.40,6.5,6.5,358,8,15.5,0.00,99,-13.9,0.21,0.00,0.25,0.30,0.7,4.2,360,329,20.5,0.00,98
1997-10-13T10:00,-13.1,0.35,0.00,0.65,0.50,6.8,6.8,348,350,13.0,0.00,93,-13.4,0.28,0.00,0.25,0.40,2.7,3.9,337,338,20.5,555.51,96
1997-10-13T11:00,-12.7,0.14,0.00,0.65,0.20,8.3,8.3,350,4,12.6,0.00,100,-12.4,0.21,0.00,0.25,0.30,3.7,5.0,331,330,22.7,3600.00,97
1997-10-13T12:00,-12.3,0.14,0.00,0.65,0.20,9.4,9.4,352,2,16.9,0.00,100,-11.6,0.28,0.00,0.25,0.40,4.8,7.4,318,317,24.5,3600.00,77
1997-10-13T13:00,-11.8,0.35,0.00,0.66,0.50,10.8,10.8,334,338,20.5,0.00,100,-11.2,0.28,0.00,0.26,0.40,5.4,8.2,323,319,25.9,3600.00,89
1997-10-13T14:00,-11.8,0.49,0.00,0.67,0.70,10.8,10.8,324,326,20.5,0.00,100,-11.0,0.28,0.00,0.26,0.40,5.6,8.7,320,318,27.0,3600.00,95
1997-10-13T15:00,-12.2,0.28,0.00,0.67,0.40,8.6,8.6,324,324,18.4,0.00,100,-11.3,0.28,0.00,0.26,0.40,5.9,9.4,317,317,28.1,3600.00,89
1997-10-13T16:00,-12.4,0.28,0.00,0.67,0.40,10.8,10.8,320,320,18.7,0.00,100,-11.6,0.28,0.00,0.26,0.40,5.6,8.9,315,313,29.5,3600.00,80
1997-10-13T17:00,-12.6,0.28,0.00,0.67,0.40,10.8,10.8,312,308,18.7,0.00,100,-12.0,0.28,0.00,0.27,0.40,3.8,7.6,311,315,29.5,3600.00,92
1997-10-13T18:00,-12.8,0.63,0.00,0.68,0.90,14.0,14.0,324,328,24.5,0.00,100,-13.1,0.35,0.00,0.27,0.50,5.1,7.6,315,315,30.6,3600.00,97
1997-10-13T19:00,-13.2,1.40,0.00,0.70,2.00,15.5,15.5,330,334,27.4,0.00,100,-13.7,0.42,0.00,0.27,0.60,5.4,8.4,318,317,32.4,0.00,99
1997-10-13T20:00,-13.7,1.54,0.00,0.72,2.20,15.8,15.8,328,328,28.4,0.00,100,-14.6,0.56,0.00,0.28,0.80,5.1,7.9,315,317,32.4,0.00,100
1997-10-13T21:00,-13.9,1.19,0.00,0.73,1.70,16.6,16.6,322,320,30.6,0.00,100,-14.8,0.56,0.00,0.29,0.80,3.3,7.4,311,313,28.4,0.00,98
1997-10-13T22:00,-14.5,0.70,0.00,0.75,1.00,13.0,13.0,322,318,29.5,0.00,100,-14.8,0.63,0.00,0.29,0.90,4.1,7.7,308,311,29.9,0.00,100
1997-10-13T23:00,-14.5,0.70,0.00,0.75,1.00,11.2,11.2,326,326,21.6,0.00,100,-15.0,0.70,0.00,0.30,1.00,2.8,7.2,310,307,30.6,0.00,100
1997-10-14T00:00,-14.3,0.91,0.00,0.77,1.30,13.0,13.0,334,334,22.3,0.00,100,-15.5,0.63,0.00,0.31,0.90,3.8,7.4,319,321,31.7,0.00,94
1997-10-14T01:00,-14.4,0.98,0.00,0.78,1.40,14.4,14.4,338,338,25.2,0.00,100,-15.4,0.49,0.00,0.32,0.70,4.1,6.7,322,324,27.7,0.00,100
