latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
46.37449,9.932007,3268.39,7200,Europe/Zurich,GMT+2

time,temperature_2m_cerra (°C),snowfall_cerra (cm),rain_cerra (mm),snow_depth_cerra (m),precipitation_cerra (mm),wind_speed_10m_cerra (km/h),wind_speed_100m_cerra (km/h),wind_direction_10m_cerra (°),wind_direction_100m_cerra (°),wind_gusts_10m_cerra (km/h),sunshine_duration_cerra (s),cloud_cover_cerra (%),temperature_2m_archive_best_match (°C),snowfall_archive_best_match (cm),rain_archive_best_match (mm),snow_depth_archive_best_match (m),precipitation_archive_best_match (mm),wind_speed_10m_archive_best_match (km/h),wind_speed_100m_archive_best_match (km/h),wind_direction_10m_archive_best_match (°),wind_direction_100m_archive_best_match (°),wind_gusts_10m_archive_best_match (km/h),sunshine_duration_archive_best_match (s),cloud_cover_archive_best_match (%)
1997-04-20T00:00,-18.8,0.00,0.00,23.03,0.00,12.2,12.2,238,238,23.8,0.00,4,-10.5,0.00,0.00,16.16,0.00,5.4,8.4,172,211,20.9,0.00,71
1997-04-20T01:00,-19.8,0.00,0.00,23.03,0.00,11.9,11.9,246,246,22.3,0.00,0,-11.1,0.00,0.00,16.16,0.00,5.3,8.3,152,198,22.0,0.00,47
1997-04-20T02:00,-20.5,0.00,0.00,23.03,0.00,11.5,11.5,244,246,21.6,0.00,0,-11.6,0.00,0.00,16.16,0.00,4.9,8.3,163,198,23.4,0.00,29
1997-04-20T03:00,-19.5,0.00,0.00,23.03,0.00,11.2,11.2,236,236,22.0,0.00,94,-11.5,0.00,0.00,16.16,0.00,4.9,8.6,163,195,24.1,0.00,43
1997-04-20T04:00,-18.7,0.00,0.00,23.03,0.00,12.6,12.6,228,232,23.0,0.00,100,-11.7,0.00,0.00,16.16,0.00,5.8,9.6,184,200,24.1,0.00,77
1997-04-20T05:00,-17.1,0.14,0.00,23.04,0.20,13.0,13.0,228,234,24.1,0.00,100,-11.9,0.00,0.00,16.16,0.00,5.2,8.9,196,207,24.1,0.00,90
1997-04-20T06:00,-15.5,0.07,0.00,23.04,0.10,10.4,10.4,230,232,22.3,0.00,100,-12.2,0.00,0.00,16.16,0.00,4.4,8.0,215,216,22.7,0.00,84
1997-04-20T07:00,-15.2,0.14,0.00,23.04,0.20,9.7,9.7,232,236,18.4,0.00,100,-12.4,0.00,0.00,16.16,0.00,3.6,6.6,225,221,20.2,0.00,88
1997-04-20T08:00,-14.3,0.28,0.00,23.04,0.40,12.6,12.6,224,232,22.7,0.00,100,-12.1,0.00,0.00,16.16,0.00,3.6,6.4,217,223,19.4,2774.51,100
1997-04-20T09:00,-14.1,0.49,0.00,23.05,0.70,10.8,10.8,228,234,22.0,0.00,100,-11.4,0.07,0.00,16.16,0.10,2.1,4.3,211,222,18.4,2311.45,99
1997-04-20T10:00,-13.1,0.35,0.00,23.05,0.50,10.8,10.8,228,234,19.4,0.00,100,-10.3,0.14,0.00,16.16,0.20,4.1,6.1,225,225,16.9,3600.00,97
1997-04-20T11:00,-11.4,0.42,0.00,23.06,0.60,13.0,13.0,226,232,23.4,0.00,100,-9.5,0.21,0.00,16.16,0.30,4.2,5.7,250,252,19.4,3600.00,99
1997-04-20T12:00,-10.9,0.56,0.00,23.06,0.80,13.3,13.3,246,252,24.5,0.00,100,-9.3,0.28,0.00,16.16,0.40,4.7,6.1,270,267,21.6,3600.00,99
1997-04-20T13:00,-11.4,1.12,0.00,23.08,1.60,14.4,14.4,322,332,27.4,0.00,100,-9.7,0.56,0.00,16.16,0.80,5.6,8.2,315,319,23.4,1484.54,99
1997-04-20T14:00,-12.8,0.56,0.00,23.09,0.80,23.4,23.4,354,354,43.2,0.00,100,-9.9,0.63,0.00,16.17,0.90,8.5,12.1,332,333,29.9,0.00,97
1997-04-20T15:00,-13.6,0.35,0.00,23.09,0.50,22.7,22.7,358,358,43.9,0.00,100,-9.7,0.49,0.00,16.17,0.70,8.9,13.3,339,341,36.4,104.93,97
1997-04-20T16:00,-13.7,0.42,0.00,23.10,0.60,24.5,24.5,354,354,44.3,0.00,100,-9.9,0.28,0.00,16.17,0.40,9.3,14.1,344,347,40.3,3293.68,96
1997-04-20T17:00,-14.1,0.49,0.00,23.10,0.70,25.6,25.6,356,356,46.1,0.00,100,-10.7,0.21,0.00,16.18,0.30,9.2,13.5,349,351,42.5,0.00,94
1997-04-20T18:00,-15.5,0.21,0.00,23.11,0.30,26.3,26.3,0,360,47.9,0.00,100,-11.4,0.21,0.00,16.18,0.30,8.4,14.5,350,354,42.1,441.36,91
1997-04-20T19:00,-16.2,0.07,0.00,23.11,0.10,24.5,24.5,2,0,45.4,0.00,100,-12.3,0.28,0.00,16.18,0.40,6.5,14.1,354,356,41.4,0.00,96
1997-04-20T20:00,-16.8,0.14,0.00,23.11,0.20,20.2,20.2,2,358,41.0,0.00,100,-13.1,0.28,0.00,16.18,0.40,6.5,14.0,357,360,36.4,0.00,94
1997-04-20T21:00,-17.0,0.35,0.00,23.12,0.50,20.2,20.2,6,8,34.6,0.00,100,-14.2,0.07,0.00,16.18,0.10,6.1,13.7,357,2,34.6,0.00,99
1997-04-20T22:00,-17.6,0.35,0.00,23.12,0.50,20.9,20.9,6,8,35.3,0.00,100,-14.8,0.14,0.00,16.18,0.20,6.1,14.0,360,1,33.1,0.00,100
1997-04-20T23:00,-18.2,0.49,0.00,23.13,0.70,21.2,21.2,4,6,38.5,0.00,100,-15.0,0.21,0.00,16.18,0.30,7.2,13.3,3,3,34.6,0.00,100
1997-04-21T00:00,-18.4,0.35,0.00,23.13,0.50,20.5,20.5,356,360,37.4,0.00,100,-15.2,0.28,0.00,16.19,0.40,6.1,12.2,360,2,34.6,0.00,99
1997-04-21T01:00,-18.8,0.21,0.00,23.13,0.30,15.8,15.8,358,2,34.9,0.00,100,-15.5,0.28,0.00,16.19,0.40,5.4,11.9,360,5,34.2,0.00,98
1997-04-21T02:00,-18.8,0.07,0.00,23.13,0.10,10.8,10.8,354,356,25.9,0.00,90,-16.0,0.21,0.00,16.19,0.30,4.7,10.9,360,8,32.0,0.00,100
1997-04-21T03:00,-18.1,0.07,0.00,23.14,0.10,5.4,5.4,346,320,16.6,0.00,90,-15.8,0.14,0.00,16.19,0.20,4.7,10.2,4,8,28.8,0.00,95
1997-04-21T04:00,-18.1,0.07,0.00,23.14,0.10,6.8,6.8,336,312,7.6,0.00,90,-16.0,0.07,0.00,16.19,0.10,5.8,10.6,7,10,26.6,0.00,97
1997-04-21T05:00,-19.0,0.07,0.00,23.14,0.10,8.6,8.6,346,334,12.2,0.00,90,-16.2,0.07,0.00,16.19,0.00,5.1,10.6,8,10,25.6,0.00,89
1997-04-21T06:00,-19.1,0.14,0.00,23.14,0.20,6.1,6.1,346,316,13.3,0.00,90,-16.5,0.00,0.00,16.19,0.00,6.6,10.0,9,13,23.8,0.00,77
1997-04-21T07:00,-18.8,0.00,0.00,23.14,0.00,6.1,6.1,342,328,6.5,0.00,84,-16.7,0.00,0.00,16.19,0.00,5.6,10.1,15,17,23.4,0.00,71
1997-04-21T08:00,-20.5,0.00,0.00,23.14,0.00,8.3,8.3,344,346,10.8,3600.00,73,-16.8,0.00,0.00,16.19,0.00,5.7,10.2,18,18,23.0,3600.00,49
1997-04-21T09:00,-20.3,0.00,0.00,23.13,0.00,7.2,7.2,356,8,11.5,3600.00,89,-15.6,0.00,0.00,16.19,0.00,5.7,9.2,18,21,24.8,3600.00,7
1997-04-21T10:00,-19.3,0.00,0.00,23.13,0.00,5.0,5.0,8,22,8.6,3600.00,72,-13.8,0.00,0.00,16.19,0.00,6.0,8.9,17,21,24.5,3600.00,5
1997-04-21T11:00,-17.3,0.00,0.00,23.13,0.00,8.6,8.6,22,30,15.1,3600.00,90,-12.3,0.00,0.00,16.19,0.00,6.4,9.1,16,18,25.6,3600.00,2
1997-04-21T12:00,-15.2,0.00,0.00,23.13,0.00,9.4,9.4,30,34,17.6,3600.00,72,-11.1,0.00,0.00,16.19,0.00,8.6,12.4,15,17,27.7,3600.00,59
1997-04-21T13:00,-13.8,0.00,0.00,23.13,0.00,11.2,11.2,42,44,20.9,3600.00,36,-10.0,0.00,0.00,16.19,0.00,9.1,13.0,18,19,29.9,3600.00,74
1997-04-21T14:00,-12.8,0.00,0.00,23.13,0.00,12.6,12.6,48,48,25.2,3600.00,36,-9.1,0.00,0.00,16.19,0.00,10.4,15.6,20,23,33.8,3600.00,73
1997-04-21T15:00,-12.5,0.00,0.00,23.13,0.00,11.5,11.5,40,40,23.8,3600.00,53,-8.6,0.00,0.00,16.19,0.00,10.4,16.5,20,20,38.2,3600.00,63
1997-04-21T16:00,-12.1,0.00,0.00,23.13,0.00,12.2,12.2,34,36,22.7,3600.00,64,-8.3,0.00,0.00,16.19,0.00,10.0,17.3,15,17,39.6,3600.00,27
1997-04-21T17:00,-12.3,0.00,0.00,23.13,0.00,14.0,14.0,30,32,27.0,3600.00,63,-8.5,0.00,0.00,16.19,0.00,8.7,17.9,7,10,40.0,3600.00,18
1997-04-21T18:00,-13.6,0.00,0.00,23.13,0.00,15.1,15.1,22,24,29.2,3600.00,1,-8.8,0.00,0.00,16.19,0.00,8.3,16.6,355,1,41.0,3600.00,0
1997-04-21T19:00,-15.9,0.00,0.00,23.13,0.00,14.0,14.0,16,18,28.4,3600.00,0,-9.5,0.00,0.00,16.19,0.00,9.5,15.1,351,357,39.2,3600.00,11
1997-04-21T20:00,-18.3,0.00,0.00,23.13,0.00,15.8,15.8,4,6,29.5,2738.80,0,-10.0,0.00,0.00,16.19,0.00,10.2,14.5,350,354,36.4,2738.71,29
1997-04-21T21:00,-19.3,0.00,0.00,23.13,0.00,18.0,18.0,358,2,30.2,0.00,78,-12.3,0.00,0.00,16.19,0.00,10.5,14.8,352,354,37.4,0.00,47
1997-04-21T22:00,-20.3,0.00,0.00,23.13,0.00,18.0,18.0,350,2,31.3,0.00,68,-13.2,0.00,0.00,16.19,0.00,10.5,15.5,354,356,37.8,0.00,69
1997-04-21T23:00,-21.4,0.00,0.00,23.13,0.00,16.9,16.9,348,6,30.6,0.00,22,-14.1,0.00,0.00,16.19,0.00,9.4,15.5,353,357,38.9,0.00,46
1997-04-22T00:00,-20.9,0.00,0.00,23.13,0.00,16.6,16.6,346,6,28.4,0.00,31,-15.0,0.00,0.00,16.19,0.00,7.6,15.5,355,357,38.9,0.00,55
1997-04-22T01:00,-21.8,0.00,0.00,23.13,0.00,16.2,16.2,344,6,28.4,0.00,29,-15.7,0.00,0.00,16.19,0.00,5.8,14.8,353,357,38.9,0.00,88
1997-04-22T02:00,-22.5,0.00,0.00,23.13,0.00,16.6,16.6,348,10,29.9,0.00,36,-16.4,0.00,0.00,16.19,0.00,7.6,14.0,360,360,38.5,0.00,95
1997-04-22T03:00,-22.3,0.00,0.00,23.13,0.00,17.6,17.6,350,8,30.6,0.00,0,-15.8,0.00,0.00,16.19,0.00,7.6,14.4,3,1,39.2,0.00,97
1997-04-22T04:00,-23.1,0.00,0.00,23.13,0.00,16.6,16.6,344,2,30.2,0.00,0,-16.6,0.00,0.00,16.19,0.00,8.3,15.5,2,3,40.7,0.00,97
1997-04-22T05:00,-23.0,0.00,0.00,23.13,0.00,19.4,19.4,346,4,33.5,0.00,0,-16.9,0.00,0.00,16.19,0.00,7.6,15.9,360,3,42.8,0.00,95
1997-04-22T06:00,-22.3,0.00,0.00,23.13,0.00,19.4,19.4,348,6,33.5,0.00,0,-17.3,0.00,0.00,16.19,0.00,7.9,16.6,3,2,43.6,0.00,97
1997-04-22T07:00,-22.3,0.00,0.00,23.13,0.00,20.9,20.9,344,0,35.3,0.00,0,-17.3,0.00,0.00,16.19,0.00,10.1,16.9,2,2,45.7,0.00,97
1997-04-22T08:00,-21.0,0.00,0.00,23.13,0.00,24.8,24.8,346,2,42.1,3600.00,0,-16.9,0.00,0.00,16.19,0.00,10.1,17.3,360,1,46.4,2703.43,94
1997-04-22T09:00,-19.3,0.00,0.00,23.12,0.00,29.9,29.9,348,360,50.4,3600.00,0,-15.5,0.00,0.00,16.19,0.00,11.9,17.6,360,1,50.4,3600.00,60
1997-04-22T10:00,-17.7,0.00,0.00,23.12,0.00,33.1,33.1,352,360,55.8,3600.00,0,-14.0,0.00,0.00,16.19,0.00,11.2,16.9,360,360,50.8,3600.00,35
1997-04-22T11:00,-16.5,0.00,0.00,23.12,0.00,34.9,34.9,354,360,59.4,3600.00,0,-12.8,0.00,0.00,16.19,0.00,11.2,16.9,358,359,49.3,3600.00,19
1997-04-22T12:00,-15.5,0.00,0.00,23.12,0.00,33.8,33.8,354,358,59.8,3600.00,0,-11.4,0.00,0.00,16.19,0.00,11.5,17.7,356,358,48.2,3600.00,14
1997-04-22T13:00,-15.3,0.00,0.00,23.12,0.00,35.3,35.3,354,356,61.6,3600.00,0,-10.3,0.00,0.00,16.19,0.00,11.9,18.0,358,359,48.2,3600.00,17
1997-04-22T14:00,-15.4,0.00,0.00,23.12,0.00,37.4,37.4,354,356,64.8,3600.00,0,-9.7,0.00,0.00,16.19,0.00,12.2,18.7,358,360,49.3,3600.00,14
1997-04-22T15:00,-15.4,0.00,0.00,23.12,0.00,36.0,36.0,356,358,63.4,3600.00,0,-9.4,0.00,0.00,16.19,0.00,12.6,19.8,360,1,50.0,3600.00,15
1997-04-22T16:00,-15.2,0.00,0.00,23.12,0.00,38.2,38.2,354,356,65.9,3600.00,27,-9.7,0.00,0.00,16.19,0.00,13.0,21.6,360,1,52.2,3600.00,33
1997-04-22T17:00,-15.6,0.00,0.00,23.12,0.00,39.2,39.2,354,356,68.4,3600.00,0,-10.3,0.00,0.00,16.18,0.00,11.9,20.9,360,1,53.3,3600.00,29
1997-04-22T18:00,-16.5,0.00,0.00,23.12,0.00,38.2,38.2,358,360,67.0,3600.00,0,-11.4,0.00,0.00,16.18,0.00,9.7,19.8,358,360,52.2,3600.00,61
1997-04-22T19:00,-17.2,0.00,0.00,23.12,0.00,37.8,37.8,350,354,65.9,3600.00,90,-12.2,0.00,0.00,16.18,0.00,7.6,16.2,355,357,45.0,3600.00,86
1997-04-22T20:00,-17.8,0.07,0.00,23.12,0.10,38.2,38.2,352,354,65.9,0.00,90,-13.4,0.00,0.00,16.18,0.00,9.1,15.1,353,357,41.0,2740.50,96
1997-04-22T21:00,-17.6,0.07,0.00,23.12,0.10,37.4,37.4,352,356,64.8,0.00,96,-13.5,0.00,0.00,16.18,0.00,8.7,14.8,353,359,44.6,0.00,96
1997-04-22T22:00,-18.1,0.07,0.00,23.12,0.10,36.7,36.7,350,354,63.0,0.00,90,-14.0,0.00,0.00,16.18,0.00,9.4,14.8,353,360,42.1,0.00,90
1997-04-22T23:00,-18.5,0.07,0.00,23.12,0.10,35.6,35.6,352,358,61.9,0.00,90,-14.3,0.00,0.00,16.18,0.00,9.8,14.4,354,360,42.1,0.00,87
1997-04-23T00:00,-18.4,0.00,0.10,23.12,0.10,31.7,31.7,350,358,59.0,0.00,90,-14.7,0.00,0.00,16.18,0.00,8.7,14.4,353,357,41.0,0.00,71
1997-04-23T01:00,-18.8,0.00,0.00,23.12,0.00,27.0,27.0,348,358,52.2,0.00,90,-14.9,0.00,0.00,16.18,0.00,9.4,14.0,358,360,40.0,0.00,59
1997-04-23T02:00,-19.4,0.00,0.00,23.12,0.00,23.8,23.8,342,356,44.3,0.00,90,-15.2,0.00,0.00,16.18,0.00,9.4,13.7,356,360,37.1,0.00,63
1997-04-23T03:00,-19.7,0.00,0.00,23.12,0.00,20.9,20.9,338,352,38.5,0.00,89,-16.6,0.00,0.00,16.18,0.00,9.0,13.3,355,360,34.9,0.00,85
1997-04-23T04:00,-20.4,0.00,0.00,23.12,0.00,21.6,21.6,340,356,35.6,0.00,90,-17.0,0.00,0.00,16.18,0.00,9.0,13.0,360,3,33.5,0.00,89
1997-04-23T05:00,-20.9,0.00,0.00,23.12,0.00,20.5,20.5,342,356,35.6,0.00,88,-17.1,0.00,0.00,16.18,0.00,7.6,13.0,3,6,32.8,0.00,89
1997-04-23T06:00,-20.5,0.00,0.00,23.12,0.00,20.9,20.9,338,350,36.4,0.00,86,-17.4,0.00,0.00,16.18,0.00,6.9,12.8,9,10,32.0,0.00,92
